ticker,date,alpha_annual,beta_mkt,r2,regime
MSFT,2023-10-24,-0.1154441429686476,0.0047709263834677,0.0024531897886382,range_bound
MSFT,2023-10-25,-0.1153579854632441,0.004737292075855,0.0023419516059784,trending_down
MSFT,2023-10-30,-0.1092658309525873,-0.0004923060332938,2.9765628816402767e-05,trending_down
MSFT,2023-11-06,-0.1092406118986386,-0.0003833185534257,1.815898091839241e-05,trending_down
MSFT,2023-11-07,-0.1087047009562913,-0.0002168832015116,5.687699950018832e-06,trending_down
MSFT,2023-11-08,-0.1088032593829989,0.0004503300136074,2.3422985442000943e-05,range_bound
MSFT,2023-11-09,-0.1087971722323151,0.0003785835665377,1.6546989450749727e-05,trending_down
MSFT,2023-11-10,-0.1088030265076629,-7.404686817295238e-05,6.372088203754345e-07,range_bound
MSFT,2023-11-13,-0.1089974001239529,0.0002061659030396,5.099787789286658e-06,range_bound
MSFT,2023-11-14,-0.1087841629983875,0.0001974263128339,4.668737691448932e-06,range_bound
MSFT,2023-11-16,-0.1088596370035273,0.0002655755021677,8.638540436645137e-06,range_bound
MSFT,2023-11-17,-0.1100699935128609,0.0001565346265162,2.975807547600517e-06,range_bound
MSFT,2023-11-20,-0.1119282889462396,-0.0002469554642473,7.133954045723812e-06,range_bound
MSFT,2023-11-21,-0.1119580786647718,-0.000108391526524,1.3819170281426096e-06,range_bound
MSFT,2023-11-22,-0.1120258938903081,2.7159203507381972e-05,8.638470250232899e-08,range_bound
MSFT,2023-11-24,-0.1122593632215502,0.000123525850493,1.786734835196313e-06,range_bound
MSFT,2023-11-27,-0.1121847323069334,1.571360577424469e-05,2.886929817424999e-08,range_bound
MSFT,2023-11-28,-0.1086141783746391,-5.017377225366118e-05,3.102349859229747e-07,range_bound
MSFT,2023-11-29,-0.1083200227105571,-4.056327174345862e-05,2.0257731514483626e-07,range_bound
MSFT,2023-11-30,-0.1081526700434061,-5.727573730893727e-06,4.0237346787819214e-09,range_bound
MSFT,2023-12-01,-0.1083924735965395,-0.0003764933734841,1.703753836368449e-05,range_bound
MSFT,2023-12-04,-0.1086351393450333,-0.0001645338501608,3.263305942691197e-06,range_bound
MSFT,2023-12-05,-0.1086067446806878,-0.0004699312684399,2.6740190465557312e-05,range_bound
MSFT,2023-12-06,-0.1085610021677462,-0.0004929594586063,2.9425332349175548e-05,range_bound
MSFT,2023-12-07,-0.1085533789519744,-0.0006261700611697,4.763513732441993e-05,range_bound
MSFT,2023-12-08,-0.1086560017652179,-0.0002717117402743,8.979191406965903e-06,range_bound
MSFT,2023-12-11,-0.108884828049412,-0.0002051160494962,5.129676981741049e-06,range_bound
MSFT,2023-12-26,-0.108884778733398,-0.000104457955129,1.3319425039570731e-06,range_bound
MSFT,2023-12-27,-0.11262063080332,-0.0004793557756906,2.528299040027715e-05,range_bound
MSFT,2023-12-28,-0.1122304719110239,-0.0004421513349462,2.1397721901239564e-05,range_bound
MSFT,2023-12-29,-0.1102439196749965,0.0033158092076492,0.001168483008922,range_bound
SPY,2021-07-02,,,,range_bound
SPY,2021-07-06,,,,range_bound
SPY,2021-07-07,,,,range_bound
SPY,2021-07-08,,,,range_bound
SPY,2021-07-09,,,,range_bound
SPY,2021-07-12,,,,range_bound
SPY,2021-07-13,,,,range_bound
SPY,2021-07-14,,,,range_bound
SPY,2021-07-15,,,,range_bound
SPY,2021-07-16,,,,range_bound
SPY,2021-07-19,,,,range_bound
SPY,2021-07-20,,,,range_bound
SPY,2021-07-21,,,,range_bound
SPY,2021-07-22,,,,range_bound
SPY,2021-07-23,,,,range_bound
SPY,2021-08-02,,,,range_bound
SPY,2021-08-03,,,,range_bound
SPY,2021-08-04,,,,range_bound
SPY,2021-08-05,,,,range_bound
SPY,2021-08-06,,,,range_bound
SPY,2021-08-13,,,,range_bound
SPY,2021-08-16,,,,range_bound
SPY,2021-08-18,,,,range_bound
SPY,2021-08-19,,,,range_bound
SPY,2021-08-20,,,,range_bound
SPY,2021-08-23,,,,range_bound
SPY,2021-08-24,,,,range_bound
SPY,2021-08-25,,,,range_bound
SPY,2021-08-26,,,,range_bound
SPY,2021-08-27,,,,range_bound
SPY,2021-09-08,,,,range_bound
SPY,2021-09-09,,,,range_bound
SPY,2021-09-10,,,,range_bound
SPY,2021-09-13,,,,range_bound
SPY,2021-09-14,,,,range_bound
SPY,2021-09-15,,,,range_bound
SPY,2021-09-16,,,,range_bound
SPY,2021-09-17,,,,range_bound
SPY,2021-09-20,,,,range_bound
SPY,2021-09-22,,,,range_bound
SPY,2021-09-23,,,,range_bound
SPY,2021-09-24,,,,range_bound
SPY,2021-09-27,,,,range_bound
SPY,2021-09-28,,,,range_bound
SPY,2021-10-08,,,,range_bound
SPY,2021-10-11,,,,range_bound
SPY,2021-10-12,,,,range_bound
SPY,2021-10-13,,,,range_bound
SPY,2021-10-14,,,,range_bound
SPY,2021-10-15,,,,range_bound
SPY,2021-10-18,,,,range_bound
SPY,2021-10-19,,,,range_bound
SPY,2021-10-20,,,,range_bound
SPY,2021-10-21,,,,range_bound
SPY,2021-10-28,,,,range_bound
SPY,2021-10-29,,,,range_bound
SPY,2021-11-01,,,,range_bound
SPY,2021-11-02,,,,range_bound
SPY,2021-11-03,,,,range_bound
SPY,2021-11-04,,,,range_bound
SPY,2021-11-05,,,,range_bound
SPY,2021-11-08,,,,range_bound
SPY,2021-11-09,,,,trending_up
SPY,2021-11-10,,,,range_bound
SPY,2021-11-11,,,,range_bound
SPY,2021-11-12,,,,range_bound
SPY,2021-11-15,,,,trending_up
SPY,2021-11-16,,,,range_bound
SPY,2021-11-17,,,,range_bound
SPY,2021-11-18,,,,range_bound
SPY,2021-11-19,,,,range_bound
SPY,2021-11-22,,,,range_bound
SPY,2021-11-23,,,,trending_up
SPY,2021-11-24,,,,trending_up
SPY,2021-11-26,,,,range_bound
SPY,2021-11-29,,,,range_bound
SPY,2021-11-30,,,,range_bound
SPY,2021-12-09,,,,range_bound
SPY,2021-12-10,,,,range_bound
SPY,2021-12-13,,,,range_bound
SPY,2021-12-14,,,,range_bound
SPY,2021-12-15,,,,range_bound
SPY,2021-12-16,,,,range_bound
SPY,2021-12-17,,,,range_bound
SPY,2021-12-20,,,,range_bound
SPY,2021-12-21,,,,range_bound
SPY,2021-12-22,,,,range_bound
SPY,2021-12-23,,,,range_bound
SPY,2021-12-27,,,,range_bound
SPY,2022-01-06,,,,range_bound
SPY,2022-01-07,,,,range_bound
SPY,2022-01-10,,,,range_bound
SPY,2022-01-11,,,,range_bound
SPY,2022-01-12,,,,range_bound
SPY,2022-01-13,,,,range_bound
SPY,2022-01-14,,,,range_bound
SPY,2022-01-18,,,,range_bound
SPY,2022-01-19,,,,range_bound
SPY,2022-01-21,,,,range_bound
SPY,2022-01-24,,,,range_bound
SPY,2022-01-25,,,,range_bound
SPY,2022-01-26,,,,range_bound
SPY,2022-01-27,,,,range_bound
SPY,2022-01-28,,,,range_bound
SPY,2022-01-31,,,,range_bound
SPY,2022-02-01,,,,range_bound
SPY,2022-02-02,,,,range_bound
SPY,2022-02-03,,,,range_bound
SPY,2022-02-04,,,,range_bound
SPY,2022-02-07,,,,range_bound
SPY,2022-02-08,,,,range_bound
SPY,2022-02-09,,,,range_bound
SPY,2022-02-10,,,,range_bound
SPY,2022-02-11,,,,range_bound
SPY,2022-02-14,,,,range_bound
SPY,2022-02-15,,,,range_bound
SPY,2022-02-16,,,,range_bound
SPY,2022-02-17,,,,range_bound
SPY,2022-02-18,,,,range_bound
SPY,2022-02-22,,,,trending_down
SPY,2022-02-23,,,,trending_down
SPY,2022-02-24,,,,trending_down
SPY,2022-02-25,,,,trending_down
SPY,2022-02-28,,,,trending_down
SPY,2022-03-01,,,,trending_down
SPY,2022-03-02,,,,trending_down
SPY,2022-03-03,0.1870500828520669,-0.3330396521374738,0.108749493173564,trending_down
SPY,2022-03-04,0.2136429571784119,-0.3237319261785966,0.1046242017039645,trending_down
SPY,2022-03-07,0.1998185885231609,-0.3207260610546565,0.1032238977581169,trending_down
SPY,2022-03-08,0.1782260626208669,-0.2816440311136856,0.0849074750688163,trending_down
SPY,2022-03-09,0.1439352581392714,-0.2727786842966375,0.0809095230259728,trending_down
SPY,2022-03-10,0.1941857405298497,-0.2486872517595914,0.0718893461824644,trending_down
SPY,2022-03-11,0.2064921467256009,-0.2461356298566643,0.070821245209993,trending_down
SPY,2022-03-14,0.1836735880298143,-0.2411647302521864,0.0689276679148923,trending_down
SPY,2022-03-15,0.1862677593762336,-0.239264799813938,0.0681624573877753,trending_down
SPY,2022-03-16,0.1839678504893656,-0.2311794363331405,0.0660347036246919,trending_down
SPY,2022-03-17,0.1602207677513838,-0.217422826222401,0.0614986322065296,trending_down
SPY,2022-03-18,0.1039393092259521,-0.1895066205807363,0.0502962369550157,range_bound
SPY,2022-03-21,0.1465173378009014,-0.1718805769189252,0.042797858817851,range_bound
SPY,2022-03-22,0.1630631158061637,-0.1676112329204216,0.0408803862473347,range_bound
SPY,2022-03-23,0.1731337467960991,-0.1659512577644139,0.0404494299415826,range_bound
SPY,2022-03-24,0.185096082215334,-0.1559703392818326,0.0363095160427519,range_bound
SPY,2022-03-25,0.1898288343139755,-0.15287936352058,0.0353887237990275,range_bound
SPY,2022-03-28,0.2099825803356665,-0.1485481696733314,0.0336245344909036,range_bound
SPY,2022-03-29,0.2040820617008214,-0.1469339395380169,0.0329978218384185,range_bound
SPY,2022-03-30,0.232846487246449,-0.1400003900859015,0.0302687947109708,range_bound
SPY,2022-03-31,0.2395255783755878,-0.1399267665804975,0.0303329383458316,range_bound
SPY,2022-04-01,0.2506275268351967,-0.1461719877367938,0.0333965457974079,range_bound
SPY,2022-04-04,0.2340044556146987,-0.1471633283624652,0.0338959547984284,range_bound
SPY,2022-04-05,0.1732946825728034,-0.1353897390374784,0.0298802991660366,range_bound
SPY,2022-04-06,0.1957291855679348,-0.1396710692937001,0.0320089250170796,range_bound
SPY,2022-04-07,0.244962677972512,-0.1346859229445065,0.0306443450277721,range_bound
