ticker,signal,model,alpha_annual,alpha_daily,t_stat,p_value,significant,r2,adj_r2,ic,ir,n_obs,low_sample_size,beta_MKT,beta_SMB,beta_HML,beta_MOM
MSFT,signal_bb,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
MSFT,signal_bb,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
MSFT,signal_bb,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
MSFT,signal_ensemble,CAPM,-0.253346,-0.00115867,-2.2059,0.027394,True,0.0,-0.002,0.0036,-1.401,507,False,-0.0036,,,
MSFT,signal_ensemble,FF3,-0.24355,-0.001107,-2.1547,0.031183,True,0.0034,-0.0025,0.0583,-1.3492,507,False,-0.0035,0.0815,0.0247,
MSFT,signal_ensemble,Carhart4,-0.244967,-0.00111443,-2.1958,0.028104,True,0.0078,-0.0001,0.0883,-1.36,507,False,-0.0137,0.1001,0.0274,-0.1299
MSFT,signal_rsi_vol_trend_gated,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
MSFT,signal_rsi_vol_trend_gated,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
MSFT,signal_rsi_vol_trend_gated,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
MSFT,signal_zscore_vol_bb_gated,CAPM,-0.018919,-7.579e-05,-0.6361,0.524705,False,0.0016,-0.0,0.0394,-0.3488,632,False,0.0117,,,
MSFT,signal_zscore_vol_bb_gated,FF3,-0.018453,-7.391e-05,-0.6367,0.524325,False,0.0017,-0.0031,0.0408,-0.3402,632,False,0.011,0.0051,-0.0002,
