datetime,open,high,low,close,volume,returns,returns_norm,returns_fwd_1,returns_fwd_5,vol_5d,vol_5d_annual,vol_21d,vol_21d_annual,vol_63d,vol_63d_annual,rsi_14,tr,atr_14,vol_ratio_20,vwap_20d,vwap_dev,bb_middle,bb_upper,bb_lower,bb_width,bb_pct,ema_12,ema_26,macd_line,macd_signal,macd_histogram,z_price_20d,z_price_60d,signal_rsi,signal_rsi_strength,signal_macd,signal_macd_strength,signal_zscore,signal_zscore_strength,signal_bb,signal_bb_strength,position_scale,signal_ensemble,signal_rsi_vol_trend_gated,signal_zscore_vol_bb_gated,signal_macd_trend_gated,signal_bb_breakout_gated,regime_label,signal_mr_pool,signal_trend_pool,signal_regime_adaptive
2021-12-16 05:00:00+00:00,175.27077720416733,177.08918279763162,166.93153397693786,168.4077606201172,150185800.0,-0.04005534976788565,-2.6971510743741702,0.0065443612829607645,-0.004220129931353234,0.02530574182444167,0.4017161976568716,0.02039356870599631,0.3237378668470533,0.030540311365165385,0.4848124130082428,59.298381934885086,10.157648820693765,5.298768068713045,1.2343312129786337,165.71259705493944,0.01600379670897304,165.1879150390625,180.66898684578007,149.7068432323449,0.1874358884311449,0.6039929799840323,169.4724801796475,163.00108706747338,6.471393112174127,6.956831891840953,-0.48543877966682647,0.41597191993612936,1.1475803145021353,-1,0.0,-1,0.14628281161462037,0,0.0,0,0.0,0.16666666666666674,-1,0,0,-1,0,trending,0,-1,-1
2021-12-17 05:00:00+00:00,166.12985777423478,169.59070130648584,165.89523442801953,167.31280517578125,195432700.0,-0.006523039923225507,-0.514544297525098,0.0,-0.02562042318684954,0.02494427407554676,0.3959780750335939,0.01889693276597431,0.2999795078440557,0.030570908842989984,0.48529813291066104,57.312787080799254,3.6954668784663056,5.184246555123992,1.5316346005920023,166.20937418300457,0.006595018185352875,165.8883903503418,180.33873924892825,151.43804145175537,0.17421772395366023,0.5492865201884081,169.14022248674502,163.32047359401471,5.819748892730303,6.729415292018823,-0.9096663992885201,0.19714608075363224,1.0606050353441998,-1,0.0,-1,0.2741201652875821,0,0.0,0,0.0,0.17460317460317465,-1,0,0,-1,0,trending,0,-1,-1
2021-12-18 05:00:00+00:00,166.12985777423478,169.59070130648584,165.89523442801953,167.31280517578125,195432700.0,0.0,-0.09055807415780961,0.0,-0.02915824614729423,0.02429693187796816,0.3857018362258879,0.01889693276597431,0.2999795078440557,0.030570908842989984,0.48529813291066104,57.31278708079925,3.6954668784663056,5.077905149648443,1.4636838525502127,166.66207241986544,0.003889318305506516,166.5888656616211,179.77331335332312,153.40441796991908,0.15828726174872398,0.5274542980900058,168.85908136198137,163.61620185933077,5.242879502650595,6.432108134145178,-1.1892286314945828,0.10981719236002288,1.0270229823105446,-1,0.0,-1,0.35836384556469136,0,0.0,0,0.0,0.18253968253968256,-1,0,0,-1,0,trending,0,-1,-1
2021-12-19 05:00:00+00:00,166.12985777423478,169.59070130648584,165.89523442801953,167.31280517578125,195432700.0,0.0,-0.09055807415780961,0.00818852304818507,-0.02915824614729423,0.024335970076672105,0.38632154841830324,0.01889693276597431,0.2999795078440557,0.030570908842989984,0.48529813291066104,57.312787080799254,3.6954668784663056,4.9791595588497195,1.4074554136700828,167.02761380240736,0.0017045400265345199,167.12167892456054,179.44953427824754,154.79382357087354,0.1475314924193868,0.5077518045814655,168.62119271795058,163.890024327216,4.731168390734581,6.091920185463058,-1.3607517947284773,0.03100721832586183,0.994696225412705,0,0.0,-1,0.4100508792872718,0,0.0,0,0.0,0.19047619047619047,-1,0,0,-1,0,trending,0,-1,-1
2021-12-20 05:00:00+00:00,164.51676029378936,166.76532847471316,163.71510567618958,165.95388793945312,107499100.0,-0.008155178995355948,-0.6180644347366472,-0.018729657343386052,-0.03704343814841693,0.016690830799294454,0.2649587248199433,0.018636071283431564,0.29583846018739335,0.030612125243197313,0.4859524229799765,54.48482262236393,3.59769949959167,4.880483840331288,0.7931880294159379,167.33332505063075,-0.008312171099485774,167.33920288085938,179.40788510985738,155.27052065186137,0.14424213837794542,0.44260703384510003,168.21083813664328,164.04290311330763,4.1679350233356445,5.707123153037577,-1.539188129701932,-0.22957186461959997,0.8992929960504985,0,0.0,-1,0.46382113800463265,0,0.0,0,0.0,0.19841269841269837,-1,0,0,-1,0,trending,0,-1,-1
2021-12-21 05:00:00+00:00,167.72344617879446,169.32677069078633,165.3380088741713,169.12147521972656,91185900.0,0.018907278730613052,1.1318659476581452,-0.015087271524234613,-0.018663338744600688,0.010758312993966988,0.1707829242517883,0.017884094584557298,0.2839012001657737,0.03065055494957388,0.48656247565615424,59.50114490707951,3.988761816615039,4.816789410065842,0.6882756752937852,167.75340685641834,0.008089264604218944,167.74101333618165,179.4631284479417,156.0188982244216,0.13976444852240072,0.5588827984703879,168.35093614942534,164.41909363970905,3.93184250971629,5.352067024373319,-1.4202245146570291,0.23553119388155155,1.0217836872447774,0,0.0,-1,0.4279724732140867,0,0.0,0,0.0,0.2142857142857142,-1,0,0,-1,0,trending,0,-1,-1
2021-12-22 05:00:00+00:00,169.17028106062807,171.9272242537676,168.3001848243109,171.71214294433594,92135300.0,0.015202242267525085,0.8865490674080824,-0.0036308467917766096,-0.026008023840428884,0.011405861756619264,0.18106244217838136,0.01805785498914257,0.28665956107522933,0.030664446175092307,0.48678299202492026,63.08461963927002,3.6270394294567154,4.731807268593761,0.7073490397039669,168.29525101640397,0.019898953384092512,168.32172698974608,179.59158038823597,157.0518735912562,0.1339084810979444,0.6504197008917684,168.8680448871039,164.95931951412587,3.90872537297804,5.063398694094263,-1.1546733211162232,0.6016788035670738,1.115362235661054,0,0.0,-1,0.34795089923635797,0,0.0,0,0.0,0.20634920634920628,-1,0,0,-1,0,trending,0,-1,-1
2021-12-23 05:00:00+00:00,171.9174985527305,172.8951357013555,171.35046721642092,172.33787536621094,68356600.0,0.0036374543147737457,0.13756489800740812,0.0,-0.016788273193127812,0.011104013862518802,0.17627075540903106,0.01793467021713455,0.28470406344296884,0.030656418926478652,0.48665556340365734,63.91513620243901,1.54466848493459,4.504154498332392,0.5349929060607161,168.86868245420646,0.020130182669552937,169.02758102416993,179.36332987095457,158.6918321773853,0.12229659543322328,0.6601380988988915,169.40186496081267,165.5058792068729,3.895985753939783,4.829916106063367,-0.9339303521235838,0.6405523955955659,1.1132611506546188,0,0.0,-1,0.2814318993110438,0,0.0,0,0.0,0.2142857142857142,-1,0,0,-1,0,trending,0,-1,-1
2021-12-24 05:00:00+00:00,171.9174985527305,172.8951357013555,171.35046721642092,172.33787536621094,68356600.0,0.0,-0.09771291128635265,0.0,-0.017281720372475218,0.011104013862518802,0.17627075540903106,0.017613319663264276,0.27960278154768714,0.030656418926478652,0.48665556340365734,63.91513620243901,1.54466848493459,4.292762640232549,0.5455969884996307,169.46484583544463,0.016670911862300915,169.73343505859376,178.81364389224944,160.65322622493807,0.10699375559707616,0.6434130180995317,169.85355886933547,166.0119529964535,3.841605872881985,4.6322540594270905,-0.7906481865451056,0.5736520723981277,1.0817871198586129,0,0.0,-1,0.23825504794898994,0,0.0,0,0.0,0.23809523809523814,-1,0,0,-1,0,trending,0,-1,-1
2021-12-25 05:00:00+00:00,171.9174985527305,172.8951357013555,171.35046721642092,172.33787536621094,68356600.0,0.0,-0.09771291128635265,0.0,-0.010774391605757883,0.00890024724087724,0.14128704483809978,0.017613319663264276,0.27960278154768714,0.030656418926478652,0.48665556340365734,63.91513620243901,1.54466848493459,4.09647020056841,0.5566299380665464,170.0851202021079,0.013071735736070919,170.43928909301758,177.7793885705737,163.09918961546146,0.08613154298654989,0.6293297372194124,170.23576140731632,166.48053983865773,3.755221568658584,4.456847561273389,-0.7016259926148054,0.5173189488776498,1.0520169851192769,0,0.0,-1,0.21142897354025803,0,0.0,0,0.0,0.24603174603174605,-1,0,0,-1,0,trending,0,-1,-1
